eez_id	Total_Risk
6	0.051318578
7	0.073375646
8	0.015164009
9	0.036382951
10	0.014990397
11	0.025044997
14	0.141824981
15	0.393742681
16	0.104198094
17	0.146893749
18	0.071525809
19	0.015777141
20	0.222721116
21	0.200703766
24	0.127605087
25	0.232750366
28	0.082047599
31	0.030464081
37	0.075412155
39	0.052158175
40	0.222114806
41	0.228582455
42	0.201136012
43	0.122453341
44	0.17105304
45	0.131978367
46	0.09275304
47	0.225614212
48	0.0976014
49	0.098752572
50	0.135339627
51	0.078220222
52	0.050378383
53	0.247569001
54	0.096895767
56	0.070632447
59	0.114682434
61	0.167514902
62	0.265208963
64	0.104397535
65	0.115443813
66	0.217567062
67	0.129416191
68	0.050070571
69	0.079622003
70	0.060632704
71	0.089045811
72	0.087771136
73	0.102261301
74	0.091269562
75	0.162218551
76	0.217637381
77	0.197510789
78	0.130127805
79	0.117017418
80	0.149733102
81	0.064658894
82	0.111035985
84	0.248798786
96	0.162184017
97	0.139495422
98	0.145543189
99	0.169215516
100	0.082305212
101	0.04219748
102	0.2205924
103	0.047462009
104	0.066297203
106	0.207537103
110	0.046484119
112	0.144686023
114	0.218967993
115	0.184752936
119	0.028481981
120	0.03399881
122	0.046457811
123	0.033667269
124	0.047225558
125	0.037178871
126	0.081629509
127	0.039369167
129	0.106183564
130	0.092960885
131	0.133667895
132	0.180439878
133	0.156369857
134	0.145770616
135	0.213078848
136	0.169476506
137	0.128420935
138	0.148445825
139	0.209535995
143	0.038516731
152	0.044594297
155	0.035826616
162	0.015131901
162	0.059294719
163	0.239259029
164	0.050181747
166	0.112615974
167	0.071989996
168	0.062769931
171	0.338215555
172	0.148043001
173	0.085296612
174	0.080514226
175	0.094177417
176	0.110245565
177	0.025641567
178	0.111144117
179	0.168727183
180	0.015901925
181	0.092401686
182	0.079334615
183	0.043180717
184	0.218153961
185	0.012032878
186	0.070871991
187	0.080373408
188	0.074115838
189	0.058106664
190	0.056867755
191	0.135954017
192	0.114802086
193	0.114701202
194	0.147234331
195	0.20202057
196	0.339368296
197	0.140123531
198	0.071072079
199	0.126231268
200	0.160650969
202	0.185735635
203	0.601255955
204	0.371309676
205	0.262336498
206	0.229114753
207	0.361812446
208	0.128735407
209	0.609066673
210	0.287929619
214	0.290144287
215	0.046537442
216	0.474082807
218	0.072056969
222	0.104758779
223	0.069856511
224	0.139654226
231	0.085503278
232	0.105317556
237	0.043958536
